rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,2.88323,0.00974,2.87945,0
8192,8192,49.01700,18.63449,0.01429,18.62538,0
8192,16384,33.49341,11.84365,0.00726,11.84197,0
8192,32768,25.80624,8.28931,0.00480,8.28670,0
8192,65536,19.17462,6.20346,0.00568,6.20218,0
8192,131072,13.32257,4.53238,0.00512,4.53035,0
8192,262144,7.72554,3.05792,0.00538,3.05596,0
16384,8192,43.36407,18.32475,0.01562,18.31660,0
16384,16384,30.25332,11.69082,0.00736,11.68794,0
16384,32768,23.24918,8.24197,0.00558,8.24009,0
16384,65536,17.39473,6.17093,0.00349,6.17125,0
16384,131072,12.03799,4.50840,0.00866,4.50328,0
16384,262144,6.65345,3.03536,0.00304,3.03416,0
32768,8192,42.01986,18.18134,0.00688,18.18037,0
32768,16384,27.82729,11.56597,0.00806,11.56249,0
32768,32768,21.37762,8.18672,0.00612,8.18502,0
32768,65536,15.45792,6.12660,0.00487,6.12328,0
32768,131072,10.93702,4.50124,0.01277,4.49263,0
32768,262144,5.97498,3.02198,0.00846,3.01985,0
65536,8192,45.12475,18.10717,0.01606,18.09811,0
65536,16384,25.77208,11.54216,0.00801,11.53836,0
65536,32768,19.78733,8.16950,0.00298,8.16898,0
65536,65536,14.34588,6.12456,0.00487,6.12174,0
65536,131072,10.21664,4.48334,0.00654,4.48230,0
65536,262144,5.55119,3.01570,0.01362,3.00565,0
131072,8192,37.47269,18.07120,0.01549,18.06341,0
131072,16384,24.56498,11.51996,0.00370,11.51892,0
131072,32768,18.55468,8.13865,0.00658,8.13575,0
131072,65536,13.64339,6.10776,0.00790,6.10363,0
131072,131072,9.75003,4.47989,0.01100,4.47385,0
131072,262144,5.64373,3.10583,0.00334,3.10551,0
262144,8192,40.67253,18.05714,0.01890,18.04786,0
262144,16384,23.63849,11.50214,0.00898,11.49956,0
262144,32768,17.91682,8.13686,0.00624,8.13620,0
262144,65536,13.32808,6.07663,0.00526,6.07494,0
262144,131072,9.60211,4.46799,0.01350,4.46130,0
262144,262144,6.03450,3.16783,0.00650,3.16612,0
