rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,1.86080,0.00616,1.85552,0
8192,8192,21.73935,15.40356,0.01952,15.39533,0
8192,16384,16.03255,8.51014,0.00664,8.50982,0
8192,32768,10.34555,5.10954,0.00881,5.10581,0
8192,65536,7.42293,3.39973,0.00730,3.39719,0
8192,131072,5.00262,2.51654,0.00864,2.51278,0
8192,262144,2.78272,1.98074,0.00644,1.97695,0
16384,8192,25.89734,15.02441,0.01648,15.01471,0
16384,16384,13.80513,8.35175,0.00731,8.34849,0
16384,32768,9.29456,5.03276,0.00655,5.02955,0
16384,65536,6.59848,3.35910,0.00965,3.35526,0
16384,131072,4.42480,2.48403,0.00788,2.47985,0
16384,262144,2.43818,1.96826,0.00613,1.96400,0
32768,8192,25.00760,14.87600,0.02166,14.86301,0
32768,16384,13.90508,8.29688,0.00703,8.29379,0
32768,32768,8.36647,5.00520,0.00391,5.00398,0
32768,65536,5.92761,3.33847,0.00726,3.33465,0
32768,131072,3.98337,2.48119,0.00700,2.47715,0
32768,262144,2.17408,1.98790,0.00577,1.98483,0
65536,8192,25.92047,14.81407,0.01205,14.80899,0
65536,16384,14.31949,8.23853,0.01171,8.23075,0
65536,32768,7.80732,4.97674,0.00212,4.97588,0
65536,65536,5.37353,3.32790,0.01007,3.32366,0
65536,131072,3.65912,2.47544,0.00614,2.47240,0
65536,262144,1.99658,1.96221,0.00523,1.96034,0
131072,8192,26.94629,14.76838,0.01222,14.76189,0
131072,16384,13.89236,8.21906,0.00898,8.21497,0
131072,32768,7.44501,4.95060,0.01115,4.94498,0
131072,65536,5.10885,3.34823,0.00506,3.34687,0
131072,131072,3.48010,2.46863,0.00917,2.46316,0
131072,262144,1.98403,1.95780,0.00302,1.95631,0
262144,8192,26.66568,14.76950,0.01751,14.76028,0
262144,16384,15.19830,8.22423,0.00387,8.22384,0
262144,32768,8.95686,4.94651,0.00374,4.94457,0
262144,65536,5.02772,3.32402,0.00607,3.32034,0
262144,131072,3.39749,2.46170,0.00703,2.45838,0
262144,262144,2.03316,1.95978,0.00463,1.95932,0
rows,cols,preprocess,mean,stdev,median,exitcode
0,0,0,1.85795,0.01050,1.85083,0
8192,8192,21.95461,15.37830,0.01310,15.36985,0
8192,16384,16.51734,8.51839,0.00555,8.51689,0
8192,32768,10.35389,5.10994,0.00849,5.10556,0
8192,65536,7.41813,3.39585,0.00623,3.39423,0
8192,131072,5.01724,2.51881,0.00603,2.51528,0
8192,262144,2.78806,1.98309,0.00476,1.98085,0
16384,8192,28.32802,15.03665,0.01555,15.02909,0
16384,16384,14.10188,8.36513,0.00891,8.36024,0
16384,32768,9.30699,5.04311,0.00555,5.04096,0
16384,65536,6.61483,3.36661,0.00703,3.36274,0
16384,131072,4.43174,2.49564,0.00708,2.49197,0
16384,262144,2.41106,1.97746,0.00606,1.97540,0
32768,8192,27.34577,14.89136,0.01431,14.88616,0
32768,16384,14.69902,8.31107,0.00379,8.30924,0
32768,32768,8.33610,5.01131,0.00444,5.01123,0
32768,65536,5.91581,3.34366,0.00987,3.33764,0
32768,131072,3.97981,2.47687,0.00726,2.47285,0
32768,262144,2.17651,1.98222,0.00271,1.98078,0
65536,8192,26.15858,14.81737,0.01918,14.80777,0
65536,16384,14.52992,8.24431,0.01521,8.23592,0
65536,32768,7.83849,4.98215,0.00718,4.98063,0
65536,65536,5.36716,3.32739,0.01368,3.31827,0
65536,131072,3.66887,2.49119,0.00425,2.49053,0
65536,262144,1.99271,1.96643,0.00477,1.96343,0
131072,8192,27.48945,14.78974,0.02881,14.77315,0
131072,16384,14.01422,8.22550,0.01049,8.21983,0
131072,32768,7.46929,4.96260,0.01022,4.95654,0
131072,65536,5.10076,3.35618,0.00848,3.35463,0
131072,131072,3.49076,2.48888,0.00446,2.48762,0
131072,262144,1.99283,1.96249,0.00496,1.96105,0
262144,8192,27.33758,14.82397,0.05109,14.80177,0
262144,16384,15.69033,8.23654,0.03730,8.21765,0
262144,32768,9.29172,4.96947,0.02289,4.95885,0
262144,65536,5.05866,3.33316,0.00487,3.33312,0
262144,131072,3.40409,2.46747,0.00578,2.46480,0
262144,262144,2.01073,1.95716,0.00690,1.95298,0
